lat,lon
-22,67
11,67
-73,68
-40,68
-8,68
69,68
-57,69
-25,69
8,69
-73,70
-41,70
-9,70
75,70
-55,71
-23,71
10,71
-66,72
-34,72
-2,72
82,72
-45,73
-13,73
20,73
-58,74
-26,74
7,74
-66,75
-34,75
-2,75
-67,76
-35,76
-3,76
-66,77
-34,77
-2,77
-62,78
-30,78
3,78
-56,79
-24,79
9,79
-50,80
-18,80
76,80
-46,81
-14,81
79,81
-45,82
-13,82
78,82
-48,83
-16,83
17,83
-52,84
-20,84
13,84
-58,85
-26,85
7,85
-63,86
-31,86
2,86
-69,87
-37,87
-5,87
83,87
-42,88
-10,88
77,88
-48,89
-16,89
17,89
-52,90
-20,90
13,90
-56,91
-24,91
9,91
-61,92
-29,92
4,92
-63,93
-31,93
2,93
-61,94
-29,94
4,94
-59,95
-27,95
6,95
-55,96
-23,96
12,96
-50,97
-18,97
16,97
-47,98
-15,98
84,98
-40,99
-8,99
-61,100
-29,100
7,100
-54,101
-22,101
81,101
-46,102
-14,102
-65,103
-33,103
8,103
-52,104
-20,104
-83,105
-43,105
-11,105
-70,106
-36,106
2,106
-58,107
-26,107
8,107
-60,108
-28,108
7,108
-63,109
-31,109
2,109
-71,110
-39,110
-6,110
-76,111
-44,111
-12,111
83,111
-46,112
-14,112
79,112
-51,113
-19,113
74,113
-54,114
-17,114
75,114
-55,115
-15,115
78,115
-54,116
-8,116
83,116
-49,117
-2,117
-77,118
-45,118
11,118
-75,119
-42,119
5,119
85,119
-49,120
4,120
79,120
-57,121
-10,121
40,121
-64,122
-16,122
26,122
-73,123
-41,123
16,123
82,123
-54,124
-4,124
34,124
-69,125
-37,125
19,125
85,125
-47,126
5,126
75,126
-58,127
-7,127
27,127
-66,128
-34,128
19,128
-74,129
-39,129
11,129
79,129
-51,130
-1,130
32,130
-66,131
-34,131
19,131
83,131
-46,132
8,132
42,132
-61,133
-8,133
28,133
-78,134
-40,134
16,134
78,134
-53,135
2,135
34,135
-71,136
-38,136
18,136
79,136
-54,137
2,137
34,137
-75,138
-43,138
13,138
72,138
-62,139
-12,139
27,139
85,139
-47,140
11,140
47,140
-63,141
-10,141
30,141
-82,142
-48,142
16,142
51,142
-67,143
-2,143
31,143
-81,144
-49,144
14,144
47,144
-73,145
-41,145
19,145
52,145
-70,146
-13,146
23,146
55,146
-67,147
-14,147
23,147
55,147
-66,148
-13,148
22,148
54,148
-65,149
-16,149
18,149
50,149
-69,150
-22,150
13,150
45,150
-73,151
-41,151
6,151
38,151
82,151
-49,152
-9,152
25,152
57,152
-61,153
-22,153
11,153
43,153
-78,154
-44,154
-12,154
21,154
53,154
-64,155
-32,155
2,155
34,155
77,155
-53,156
-21,156
13,156
45,156
-70,157
-38,157
-5,157
28,157
76,157
-52,158
-20,158
13,158
45,158
-65,159
-33,159
-1,159
32,159
79,159
-46,160
-14,160
19,160
51,160
-61,161
-29,161
5,161
37,161
83,161
-45,162
-13,162
21,162
53,162
-61,163
-29,163
4,163
36,163
79,163
-51,164
-19,164
14,164
46,164
-81,165
-45,165
-12,165
21,165
53,165
-70,166
-38,166
-6,166
27,166
59,166
-67,167
-34,167
-2,167
31,167
72,167
-63,168
-28,168
5,168
37,168
79,168
-56,169
-22,169
11,169
43,169
85,169
-50,170
-15,170
18,170
50,170
-79,171
-46,171
-12,171
21,171
53,171
-75,172
-40,172
-8,172
25,172
57,172
-70,173
-34,173
-2,173
31,173
72,173
-66,174
-32,174
1,174
33,174
74,174
-64,175
-28,175
5,175
37,175
78,175
-60,176
-24,176
9,176
41,176
80,176
-58,177
-23,177
10,177
42,177
81,177
-57,178
-23,178
11,178
43,178
82,178
-56,179
-24,179
10,179
42,179
81,179
-57,180
-25,180
8,180
40,180
76,180
